文本,情感
面对感情，我感到预料。,anticipation
最近运动，让我展望。,anticipation
面对邻居，我感到欣慰。,joy
支出让我沮丧。,sadness
汇报的结果让我依赖。,trust
感情让我厌恶。,disgust
想到消费，就火大。,anger
关于琐事，我心慌。,anxiety
支出的结果让我阳光。,optimism
最近作息，让我发怒。,anger
最近朋友，让我惊讶。,surprise
想到经济，就红眼。,envy
锻炼的时候，心里妒忌。,envy
因为学生，所以负罪感。,guilt
最近收入，让我期望。,anticipation
因为加班，所以期待。,anticipation
今天娱乐，感觉有点忧心。,anxiety
锻炼的时候，心里喜悦。,joy
今天感情，感觉尤其高兴。,joy
价格的时候，心里愧疚。,guilt
想到分手，就正能量。,optimism
关于金钱，我发怒。,anger
因为交往，所以展望。,anticipation
关于老师，我懊悔。,guilt
商品让我绝望。,sadness
想到理财，就欣慰。,joy
因为运动，所以喜悦。,joy
加班的结果让我眼馋。,envy
想到体检，就失落。,despair
体检让我积极。,optimism
今天家庭，感觉非常发怒。,anger
商品的结果让我憎恶。,disgust
面对休闲，我感到有信心。,optimism
汇报让我无望。,despair
培训的时候，心里放弃。,despair
美食这件事，真是内疚。,guilt
因为医生，所以憎恶。,disgust
想到琐事，就充满希望。,optimism
面对医院，我感到向上。,optimism
教育这件事，真是爱慕。,love
考试这件事，真是正能量。,optimism
最近客户，让我悲观。,despair
矛盾的结果让我烦躁。,anxiety
关于理财，我紧张。,fear
最近医生，让我激动。,joy
医生的时候，心里惊恐。,fear
因为客户，所以热爱。,love
今天收入，感觉特别盼望。,anticipation
客户的时候，心里反感。,disgust
想到养生，就过意不去。,guilt
面对家人，我感到恶心。,disgust
关于日常，我满足。,joy
课程让我自责。,guilt
婚姻的时候，心里诧异。,surprise
电影让我惊恐。,fear
因为兴趣，所以出乎意料。,surprise
最近消费，让我相信。,trust
关于储蓄，我憎恶。,disgust
老师让我蔑视。,contempt
最近工作，让我担心。,anxiety
面对恋爱，我感到充满希望。,optimism
今天汇报，感觉真的预料。,anticipation
今天锻炼，感觉尤其热爱。,love
旅游这件事，真是意外。,surprise
因为亲情，所以忧郁。,sadness
投资的结果让我宠爱。,love
课程让我紧张。,fear
想到康复，就负罪感。,guilt
商品的结果让我展望。,anticipation
金钱这件事，真是忐忑。,anxiety
工作的时候，心里憧憬。,anticipation
收入的结果让我依赖。,trust
琐事的结果让我生气。,anger
债务的结果让我攀比。,envy
因为工作，所以懊悔。,guilt
因为治疗，所以憎恶。,disgust
质量这件事，真是激动。,joy
因为考试，所以轻视。,contempt
教育这件事，真是意外。,surprise
最近收入，让我有信心。,optimism
因为习惯，所以诧异。,surprise
债务的结果让我宠爱。,love
客户的结果让我厌烦。,disgust
消费让我开朗。,optimism
关于晋升，我依赖。,trust
今天邻居，感觉十分钟爱。,love
面对教育，我感到豁达。,optimism
疾病的时候，心里不安。,fear
交往的时候，心里痴情。,love
习惯的结果让我轻蔑。,contempt
因为储蓄，所以期待。,anticipation
最近加班，让我心慌。,anxiety
面对老师，我感到红眼。,envy
面对邻居，我感到看不起。,contempt
社区的时候，心里有信心。,optimism
面对养生，我感到恼怒。,anger
今天相处，感觉稍微妒忌。,envy
关于商品，我憎恶。,disgust
因为疾病，所以心碎。,sadness
面对购物，我感到崩溃。,despair
最近音乐，让我眼红。,envy
锻炼让我阳光。,optimism
最近学习，让我不安。,anxiety
因为商品，所以忐忑。,anxiety
最近售后，让我蔑视。,contempt
购物的结果让我信心。,trust
因为商品，所以正能量。,optimism
音乐这件事，真是愤怒。,anger
旅游让我开朗。,optimism
面对消费，我感到诚信。,trust
工作这件事，真是期待。,anticipation
聚会让我腻烦。,disgust
因为医生，所以痴情。,love
关于感情，我后悔。,guilt
想到音乐，就伤心。,sadness
运动的时候，心里意外。,surprise
最近经济，让我意想不到。,surprise
感情的结果让我信心。,trust
因为矛盾，所以鄙视。,contempt
关于亲情，我轻视。,contempt
考试让我诧异。,surprise
退款的时候，心里畏惧。,fear
因为成绩，所以预见。,anticipation
作息这件事，真是憎恶。,disgust
因为医生，所以失落。,sadness
美食的结果让我失落。,sadness
因为医院，所以羡慕。,envy
面对聚会，我感到不屑。,contempt
售后的结果让我愤怒。,anger
面对休闲，我感到腻烦。,disgust
今天朋友，感觉红眼。,envy
价格的结果让我不安。,fear
家人的时候，心里伤心。,sadness
电影让我蔑视。,contempt
社区的结果让我鄙夷。,contempt
质量的时候，心里托付。,trust
想到退款，就忠诚。,trust
关于生活，我信任。,trust
因为旅游，所以守信。,trust
锻炼的结果让我嫌弃。,disgust
财务这件事，真是嫌弃。,disgust
最近身体，让我藐视。,contempt
评价这件事，真是满足。,joy
今天运动，感觉特别腻烦。,disgust
最近购物，让我气愤。,anger
日常的时候，心里失望。,despair
项目这件事，真是担心。,anxiety
面对教育，我感到厌烦。,disgust
因为恋爱，所以幸福。,joy
面对退款，我感到热爱。,love
今天身体，感觉十分意外。,surprise
因为经济，所以乐观。,optimism
医院让我妒忌。,envy
老板的时候，心里希望。,anticipation
最近康复，让我出乎意料。,surprise
旅游让我绝望。,despair
因为课程，所以忐忑。,anxiety
因为汇报，所以看不起。,contempt
想到退款，就满足。,joy
游戏的结果让我忌妒。,envy
锻炼让我愕然。,surprise
关于疾病，我失落。,sadness
关于支出，我恶心。,disgust
因为汇报，所以心碎。,sadness
今天教育，感觉极其憎恶。,disgust
今天作息，感觉有点害怕。,fear
习惯这件事，真是害怕。,fear
日常的时候，心里妒火。,envy
社区让我讨厌。,disgust
成绩这件事，真是期盼。,anticipation
